Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude
Acute Care Hospitals,Proprietary,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,42.6837137,-90.10984613
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,,
Acute Care Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,45.10217795,-91.50166789
Acute Care Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,45.39757005,-91.83993237
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,44.0248888,-88.15328845
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,45.30168505,-92.69974128
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Tribal,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.98392375,-90.51556594
Critical Access Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.83433125,-88.81763493
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.84391845,-90.70863765
Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,37.66857995,-120.9733792
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,45.930772,-90.44063719
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Below the national average,Same as the national average,Same as the national average,Not Available,44.3812529,-88.73394715
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Not Available,Same as the national average,Below the national average,Not Available,Same as the national average,Same as the national average,43.63208185,-88.74581904
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,45.45484315,-91.11030803
